DATE,MATCH,TEAM1,TEAM2,PICK,COMPETITION,KICKOFF,ESPN_EVENT_ID,ODDS_EVENT_ID,GRADE,ODDS_MIN,ODDS_MAX,DISCOVERY_ODDS,DISCOVERY_PROBABILITY,DISCOVERY_EV,DISCOVERED_AT,STATUS,REASON,FINAL_ODDS,FINAL_PROBABILITY,FINAL_EV,FINAL_BOOKMAKERS,FINAL_SOURCE,REVALIDATED_AT,PRICE_MOVEMENT
2026-08-01,Deportes Limache vs Ñublense,Deportes Limache,Ñublense,Ñublense,Chilean Primera,2026-08-02T00:00Z,401850604,,Value Pick,1.5,3.0,2.950,0.357792,0.055486,2026-08-01T08:07:49.322533+00:00,cancelled,insufficient_bookmakers,,,,,,2026-08-01T23:28:27.720985+00:00,
2026-08-02,Cienciano del Cusco vs Universitario,Cienciano del Cusco,Universitario,Universitario,Peru Liga 1,2026-08-02T23:30Z,401885633,,Value Pick,1.5,3.0,2.850,0.374410,0.067069,2026-08-02T08:09:30.095275+00:00,pending_revalidation,awaiting_pre_kickoff_check,,,,,,,
